USStreet,USCity,USState,USStateID,Date
Hutchinson Rd,Augusta,Montana,MT,30-08-2007
Via Real,Austin,Montana,NV,25-01-2007
Santa Rosa North,Boise,Montana,SC,19-05-2007
Tanger Blvd,Boise,Montana,CT,13-09-2008
Cabrillo Highway,Carson City,Montana,SC,03-01-2008
Camelback Rd,Cheyenne,Montana,AR,05-05-2007
Lindbergh Blvd,Denver,Montana,FL,19-03-2007
Apalachee Parkway,Denver,Montana,OK,06-11-2008
S Rustle St,Hartford,Montana,PA,25-09-2007
W. Russell St.,Hartford,Montana,OR,11-09-2007
Steele Lane,Helena,Montana,DE,01-02-2008
San Diego Freeway,Jackson,Montana,ND,16-09-2008
Timberlane Drive,Jefferson City,Montana,ME,20-05-2008
San Marcos,Jefferson City,Montana,WI,27-11-2007
Steele Lane,Lansing,Montana,AR,06-02-2008
San Luis Obispo North,Olympia,Montana,MT,03-12-2007
San Diego Freeway,Richmond,Montana,MS,27-07-2007
W. Russell St.,Trenton,Montana,NJ,08-08-2007
Burnett Road,Annapolis,Nebraska,IL,24-10-2007
Tanger Blvd,Baton Rouge,Nebraska,MS,25-09-2007
San Marcos,Boston,Nebraska,MT,05-12-2007
Jones Road,Denver,Nebraska,LA,22-06-2007
Erringer Road,Denver,Nebraska,UT,04-11-2007
San Diego Freeway,Denver,Nebraska,NH,15-05-2008
Newbury Road,Frankfort,Nebraska,OR,12-03-2007
E Fowler Avenue,Harrisburg,Nebraska,TN,05-05-2007
Katella Avenue,Honolulu,Nebraska,IN,25-02-2008
Hutchinson Rd,Lansing,Nebraska,MD,31-12-2007
Via Real,Phoenix,Nebraska,LA,06-07-2007
Newbury Road,Pierre,Nebraska,MD,20-01-2008
Carpinteria South,Sacramento,Nebraska,SC,16-05-2008
N Harrison St,Santa Fe,Nebraska,SD,31-05-2007
Hutchinson Rd,Tallahassee,Nebraska,NE,24-03-2007
Camelback Rd,Topeka,Nebraska,NH,07-03-2007
Moreno Drive,Trenton,Nebraska,VA,16-12-2007
Cleveland Ave.,Annapolis,Nevada,NC,07-05-2008
Cleveland Ave.,Atlanta,Nevada,NE,10-12-2007
Fontaine Road,Bismarck,Nevada,KY,04-10-2007
North Broadway Street,Columbia,Nevada,KY,04-03-2008
Tully Road East,Columbia,Nevada,RI,27-10-2007
Richmond Hill,Columbus,Nevada,RI,19-02-2007
Lindbergh Blvd,Helena,Nevada,MD,16-11-2008
Harbor Dr,Helena,Nevada,VT,13-08-2008
Harry S Truman Blvd,Helena,Nevada,IN,09-10-2007
Milpas Street,Indianapolis,Nevada,UT,12-02-2008
El Camino Real,Jackson,Nevada,RI,14-08-2008
East Calle Primera,Montpelier,Nevada,NY,25-01-2008
Newbury Road,Nashville,Nevada,WA,31-12-2008
Tully Road East,Pierre,Nevada,MN,09-07-2008
San Simeon,Saint Paul,Nevada,KS,02-08-2007
Katella Avenue,Santa Fe,Nevada,MN,15-11-2007
Jones Road,Santa Fe,Nevada,IN,19-01-2007
Bayshore Freeway,Tallahassee,Nevada,UT,18-10-2007
Carpinteria South,Tallahassee,Nevada,GA,06-10-2008
San Diego Freeway,Trenton,Nevada,MS,28-12-2007
Fairview Avenue,Albany,New Hampshire,NM,30-01-2008
North Atherton Street,Annapolis,New Hampshire,GA,25-06-2008
Castillo Drive,Annapolis,New Hampshire,SD,28-10-2008
San Ysidro Blvd,Augusta,New Hampshire,NH,16-10-2007
Santa Ana Freeway,Augusta,New Hampshire,WA,28-09-2007
Fairview Avenue,Austin,New Hampshire,NH,28-09-2007
Timberlane Drive,Boston,New Hampshire,CO,23-06-2007
W. Russell St.,Columbus,New Hampshire,WY,23-12-2007
North Erringer Road,Dover,New Hampshire,PA,26-02-2007
Carpinteria South,Dover,New Hampshire,NJ,16-10-2008
Lake Tahoe Blvd.,Dover,New Hampshire,IN,12-03-2007
North Broadway Street,Dover,New Hampshire,ME,03-11-2007
Tully Road East,Harrisburg,New Hampshire,GA,11-10-2007
East Fry Blvd.,Hartford,New Hampshire,LA,06-02-2008
Tanger Blvd,Helena,New Hampshire,IL,02-06-2007
Santa Rosa South,Juneau,New Hampshire,WA,03-05-2007
El Camino Real,Lincoln,New Hampshire,NY,18-11-2007
Camelback Rd,Little Rock,New Hampshire,IL,22-09-2007
Newbury Road,Oklahoma City,New Hampshire,ME,18-08-2008
Fairview Avenue,Olympia,New Hampshire,NC,15-07-2007
North Erringer Road,Olympia,New Hampshire,NH,09-11-2008
San Luis Obispo North,Olympia,New Hampshire,AZ,24-09-2007
Santa Rosa North,Sacramento,New Hampshire,WI,24-03-2007
San Simeon,Salem,New Hampshire,LA,26-04-2007
Grandview Drive,Salt Lake City,New Hampshire,UT,30-03-2007
Carpinteria Avenue,Tallahassee,New Hampshire,WV,08-10-2007
San Marcos,Austin,New Jersey,IA,11-05-2008
Jean de la Fontaine,Baton Rouge,New Jersey,MN,11-08-2007
El Camino Real,Baton Rouge,New Jersey,WA,14-04-2008
Bowles Avenue,Bismarck,New Jersey,SC,21-02-2008
Lindbergh Blvd,Boston,New Jersey,NE,19-12-2007
Newbury Road,Concord,New Jersey,AR,12-02-2008
Redwood Highway,Concord,New Jersey,TN,13-11-2008
Erringer Road,Denver,New Jersey,WV,16-12-2008
W. Russell St.,Denver,New Jersey,NV,22-07-2007
San Diego Freeway,Des Moines,New Jersey,MT,25-05-2008
Moreno Drive,Des Moines,New Jersey,OR,30-09-2008
Castillo Drive,Des Moines,New Jersey,AZ,25-10-2008
Harbor Dr,Dover,New Jersey,CT,14-02-2007
East 1st Street,Harrisburg,New Jersey,RI,10-05-2008
Monroe Street,Hartford,New Jersey,OR,07-09-2007
Newbury Road,Juneau,New Jersey,VA,11-10-2008
Bayshore Freeway,Madison,New Jersey,MN,10-06-2007
Bailard Avenue,Olympia,New Jersey,ND,21-04-2008
N Kentwood,Saint Paul,New Jersey,AZ,15-09-2007
Westside Freeway,Salt Lake City,New Jersey,WV,17-06-2007
Via Real,Santa Fe,New Jersey,ID,08-11-2008
Katella Avenue,Santa Fe,New Jersey,NV,27-12-2008
North Broadway Street,Trenton,New Jersey,MA,18-08-2008
San Marcos,Annapolis,New Mexico,MO,17-09-2007
North Atherton Street,Boston,New Mexico,MT,30-10-2008
Monroe Street,Concord,New Mexico,AK,10-01-2007
Pacific Hwy S,Concord,New Mexico,FL,06-05-2007
Bailard Avenue,Des Moines,New Mexico,LA,05-02-2007
North Broadway Street,Dover,New Mexico,AZ,14-02-2007
Erringer Road,Dover,New Mexico,CO,23-05-2008
North Atherton Street,Frankfort,New Mexico,IN,20-01-2007
Pacific Hwy S,Helena,New Mexico,AR,16-02-2008
San Simeon,Honolulu,New Mexico,DE,24-01-2007
North Ventu Park Road,Indianapolis,New Mexico,NC,24-07-2008
San Ysidro Blvd,Jefferson City,New Mexico,WI,23-11-2008
E Fowler Avenue,Lansing,New Mexico,WY,15-03-2008
Fontaine Road,Montpelier,New Mexico,MA,26-08-2008
San Ysidro Blvd,Montpelier,New Mexico,WY,02-12-2008
San Simeon,Phoenix,New Mexico,UT,14-07-2008
Harry S Truman Blvd,Pierre,New Mexico,IA,19-05-2007
Katella Avenue,Providence,New Mexico,SC,31-03-2008
Cerrillos Road,Providence,New Mexico,OH,22-10-2008
Burnett Road,Raleigh,New Mexico,CO,08-05-2007
Carpinteria South,Sacramento,New Mexico,KY,19-05-2008
Lawrenceville Suwanee,Sacramento,New Mexico,KS,02-02-2008
Corona Del Mar,Salt Lake City,New Mexico,CA,10-09-2007
Santa Monica Road,Santa Fe,New Mexico,RI,21-07-2008
Carpinteria Avenue,Tallahassee,New Mexico,CO,14-04-2008
Lake Tahoe Blvd.,Atlanta,New York,DE,18-01-2008
San Luis Obispo North,Boston,New York,NE,09-11-2007
South Highway,Charleston,New York,KY,30-11-2008
San Diego Freeway,Charleston,New York,DE,25-06-2008
Santa Ana Freeway,Charleston,New York,IA,25-02-2008
Steele Lane,Charleston,New York,CA,18-08-2008
Tully Road East,Des Moines,New York,OH,28-05-2007
Cabrillo Highway,Juneau,New York,AZ,15-08-2008
Jones Road,Juneau,New York,KY,09-10-2007
Bailard Avenue,Lincoln,New York,DE,01-03-2007
Castillo Drive,Madison,New York,MA,10-02-2007
S Rustle St,Nashville,New York,NM,12-09-2008
Carpinteria South,Oklahoma City,New York,NH,11-08-2007
Erringer Road,Providence,New York,WV,03-10-2008
Erringer Road,Salem,New York,MN,25-07-2007
Cleveland Ave.,Topeka,New York,WA,24-05-2008
Cleveland Ave.,Topeka,New York,WI,06-10-2008
Lake Tahoe Blvd.,Trenton,New York,UT,22-07-2007
Harbor Dr,Albany,North Carolina,MS,27-11-2007
Cleveland Ave.,Augusta,North Carolina,NM,27-07-2007
San Luis Obispo North,Austin,North Carolina,NM,11-01-2007
San Diego Freeway,Bismarck,North Carolina,VT,03-04-2007
Grandview Drive,Carson City,North Carolina,OK,25-05-2008
Tanger Blvd,Columbia,North Carolina,NV,13-07-2008
San Diego Freeway,Concord,North Carolina,MT,16-03-2008
El Camino Real,Des Moines,North Carolina,UT,21-10-2007
Burnett Road,Harrisburg,North Carolina,AK,19-07-2007
North Erringer Road,Hartford,North Carolina,IL,28-05-2008
Santa Rosa South,Jefferson City,North Carolina,LA,21-02-2007
Cerrillos Road,Juneau,North Carolina,MA,19-09-2007
Westside Freeway,Madison,North Carolina,NJ,28-04-2007
Steele Lane,Phoenix,North Carolina,MO,22-09-2007
Redwood Highway,Sacramento,North Carolina,ND,03-08-2008
Steele Lane,Saint Paul,North Carolina,TN,17-04-2008
East 1st Street,Saint Paul,North Carolina,IL,22-10-2007
Harbor Dr,Salt Lake City,North Carolina,OH,14-09-2007
South Roosevelt Drive,Albany,North Dakota,SC,06-09-2008
Bayshore Freeway,Annapolis,North Dakota,OH,19-11-2007
San Luis Obispo North,Atlanta,North Dakota,IL,23-07-2007
Castillo Drive,Augusta,North Dakota,MI,29-10-2007
North Erringer Road,Austin,North Dakota,AR,05-01-2008
Calle Real,Bismarck,North Dakota,MN,17-02-2007
Bailard Avenue,Carson City,North Dakota,DE,09-06-2007
South Roosevelt Drive,Des Moines,North Dakota,MS,21-03-2007
Pacific Hwy S,Harrisburg,North Dakota,AK,08-12-2008
Timberlane Drive,Helena,North Dakota,ID,30-05-2007
Timberlane Drive,Lansing,North Dakota,NY,07-10-2007
Camelback Rd,Nashville,North Dakota,GA,20-02-2007
Cleveland Ave.,Oklahoma City,North Dakota,IL,15-05-2008
Milpas Street,Olympia,North Dakota,OK,04-11-2007
San Simeon,Providence,North Dakota,IL,08-04-2007
Cerrillos Road,Richmond,North Dakota,AR,03-01-2008
North Ventu Park Road,Salem,North Dakota,NH,10-11-2007
Jean de la Fontaine,Salt Lake City,North Dakota,KY,11-12-2008
Santa Monica Road,Springfield,North Dakota,WI,27-10-2007
Cerrillos Road,Springfield,North Dakota,ID,28-08-2008
Fontaine Road,Topeka,North Dakota,KS,08-02-2007
Camelback Rd,Baton Rouge,Ohio,NM,21-08-2007
Camelback Rd,Boise,Ohio,FL,12-10-2007
North Broadway Street,Carson City,Ohio,MO,12-04-2007
Newbury Road,Carson City,Ohio,OH,21-03-2008
North Broadway Street,Columbus,Ohio,NE,10-02-2007
Santa Rosa North,Frankfort,Ohio,KY,02-03-2008
Bayshore Freeway,Indianapolis,Ohio,LA,06-08-2008
Redwood Highway,Indianapolis,Ohio,NH,03-10-2008
East Main Street,Jackson,Ohio,NJ,20-06-2007
Monroe Street,Lansing,Ohio,MO,08-06-2007
Timberlane Drive,Lincoln,Ohio,NJ,06-12-2008
North Atherton Street,Oklahoma City,Ohio,MS,04-03-2007
Lake Tahoe Blvd.,Olympia,Ohio,UT,09-06-2007
East Fry Blvd.,Raleigh,Ohio,MN,12-05-2008
South Roosevelt Drive,Richmond,Ohio,ME,21-05-2007
North Broadway Street,Sacramento,Ohio,IL,15-04-2007
Santa Rosa North,Springfield,Ohio,LA,26-10-2008
Timberlane Drive,Trenton,Ohio,IN,25-04-2007
Grandview Drive,Trenton,Ohio,AK,29-10-2007
Santa Rosa North,Albany,Oklahoma,AK,20-05-2007
Bowles Avenue,Augusta,Oklahoma,MD,23-02-2007
N Kentwood,Austin,Oklahoma,TX,09-01-2008
Katella Avenue,Austin,Oklahoma,KS,01-03-2008
Bayshore Freeway,Bismarck,Oklahoma,ME,12-04-2008
Calle Real,Charleston,Oklahoma,DE,09-02-2007
Corona Del Mar,Concord,Oklahoma,IN,23-01-2007
East 1st Street,Dover,Oklahoma,KS,09-07-2008
Corona Del Mar,Harrisburg,Oklahoma,MD,23-03-2008
S Rustle St,Harrisburg,Oklahoma,NY,08-09-2007
Lindbergh Blvd,Helena,Oklahoma,NM,08-09-2007
North Atherton Street,Honolulu,Oklahoma,KS,03-02-2008
S Rustle St,Lincoln,Oklahoma,SC,15-07-2008
Padre Boulevard,Lincoln,Oklahoma,TN,31-08-2007
Westside Freeway,Phoenix,Oklahoma,ND,16-02-2007
South Roosevelt Drive,Phoenix,Oklahoma,IL,17-10-2008
Harry S Truman Blvd,Sacramento,Oklahoma,DE,17-02-2008
Jean de la Fontaine,Springfield,Oklahoma,ID,02-12-2008
Lindbergh Blvd,Tallahassee,Oklahoma,MO,07-02-2007
Padre Boulevard,Albany,Oregon,MN,31-07-2007
East Main Street,Albany,Oregon,MT,27-10-2008
Harry S Truman Blvd,Boise,Oregon,NH,06-10-2008
Bailard Avenue,Boston,Oregon,OH,20-06-2007
Santa Ana Freeway,Carson City,Oregon,HI,29-09-2007
East Main Street,Carson City,Oregon,UT,04-01-2008
El Camino Real,Charleston,Oregon,MT,17-04-2007
Carpinteria South,Columbia,Oregon,CA,21-10-2007
Milpas Street,Des Moines,Oregon,NE,03-07-2008
Redwood Highway,Frankfort,Oregon,NM,27-10-2008
Tanger Blvd,Indianapolis,Oregon,DE,19-10-2008
Jean de la Fontaine,Jackson,Oregon,OK,16-07-2007
Tully Road East,Jefferson City,Oregon,NH,07-03-2008
N Harrison St,Little Rock,Oregon,AK,21-12-2008
Milpas Street,Little Rock,Oregon,TN,27-12-2007
Burnett Road,Phoenix,Oregon,AK,24-12-2008
Monroe Street,Pierre,Oregon,MI,25-01-2007
San Luis Obispo North,Pierre,Oregon,VA,09-04-2008
Bailard Avenue,Providence,Oregon,AZ,06-06-2007
Fontaine Road,Saint Paul,Oregon,PA,14-11-2007
North Erringer Road,Saint Paul,Oregon,NE,01-11-2008
Padre Boulevard,Salem,Oregon,NH,29-02-2008
Camelback Rd,Salt Lake City,Oregon,VA,26-06-2008
Newbury Road,Topeka,Oregon,MN,10-01-2008
Moreno Drive,Albany,Pennsylvania,TX,10-05-2008
Padre Boulevard,Annapolis,Pennsylvania,SC,10-12-2007
North Preisker Lane,Austin,Pennsylvania,ME,05-10-2007
Harbor Dr,Bismarck,Pennsylvania,NM,23-08-2007
Cerrillos Road,Boston,Pennsylvania,WY,19-11-2008
Bayshore Freeway,Boston,Pennsylvania,MT,27-02-2007
Santa Rosa North,Charleston,Pennsylvania,ME,12-09-2007
North Atherton Street,Charleston,Pennsylvania,SD,28-11-2008
South Highway,Des Moines,Pennsylvania,AZ,12-05-2007
Erringer Road,Harrisburg,Pennsylvania,ME,05-07-2007
Tully Road East,Harrisburg,Pennsylvania,SD,12-01-2008
W. Russell St.,Honolulu,Pennsylvania,OK,30-07-2007
North Erringer Road,Jefferson City,Pennsylvania,SD,01-02-2007
Santa Monica Road,Lansing,Pennsylvania,ME,10-04-2007
San Diego Freeway,Nashville,Pennsylvania,TN,17-07-2007
Padre Boulevard,Oklahoma City,Pennsylvania,HI,04-09-2008
Bayshore Freeway,Oklahoma City,Pennsylvania,NE,10-01-2008
Pacific Hwy S,Providence,Pennsylvania,NH,10-09-2008
Bowles Avenue,Saint Paul,Pennsylvania,LA,28-04-2008
Steele Lane,Santa Fe,Pennsylvania,LA,26-02-2007
East Calle Primera,Albany,Rhode Island,AR,18-03-2008
Santa Monica Road,Augusta,Rhode Island,NH,27-10-2008
Castillo Drive,Baton Rouge,Rhode Island,FL,18-04-2008
Santa Rosa South,Baton Rouge,Rhode Island,VA,19-07-2007
Newbury Road,Bismarck,Rhode Island,NE,06-09-2008
French Camp Turnpike Road,Boise,Rhode Island,IL,13-08-2008
Monroe Street,Boston,Rhode Island,AR,15-08-2008
Bailard Avenue,Carson City,Rhode Island,SC,05-01-2007
Santa Rosa North,Columbus,Rhode Island,OH,22-01-2008
Bailard Avenue,Columbus,Rhode Island,VA,16-04-2008
East Fry Blvd.,Denver,Rhode Island,OH,13-09-2008
Bailard Avenue,Des Moines,Rhode Island,WI,06-06-2008
Moreno Drive,Dover,Rhode Island,OK,16-06-2008
South Roosevelt Drive,Harrisburg,Rhode Island,TX,29-05-2008
Carpinteria Avenue,Hartford,Rhode Island,LA,04-03-2008
San Luis Obispo North,Honolulu,Rhode Island,MI,23-05-2007
Burnett Road,Jefferson City,Rhode Island,MT,06-05-2008
South Highway,Little Rock,Rhode Island,UT,25-09-2007
East Calle Primera,Little Rock,Rhode Island,IN,09-03-2007
Burnett Road,Montgomery,Rhode Island,MD,07-11-2008
Carpinteria South,Nashville,Rhode Island,LA,20-06-2008
Katella Avenue,Nashville,Rhode Island,TN,29-07-2007
Tanger Blvd,Nashville,Rhode Island,NJ,24-08-2008
San Simeon,Olympia,Rhode Island,NH,02-12-2008
W. Russell St.,Pierre,Rhode Island,NM,18-06-2007
Castillo Drive,Raleigh,Rhode Island,HI,27-12-2007
French Camp Turnpike Road,Richmond,Rhode Island,MT,23-05-2007
Bowles Avenue,Sacramento,Rhode Island,WY,15-12-2008
North Ventu Park Road,Sacramento,Rhode Island,WV,26-09-2007
North Broadway Street,Saint Paul,Rhode Island,NY,15-06-2007
Jones Road,Salt Lake City,Rhode Island,SD,12-05-2007
Lindbergh Blvd,Salt Lake City,Rhode Island,RI,24-04-2007
Erringer Road,Santa Fe,Rhode Island,LA,10-01-2008
Santa Ana Freeway,Santa Fe,Rhode Island,ID,30-03-2008
Camelback Rd,Tallahassee,Rhode Island,NY,18-01-2007
North Ventu Park Road,Topeka,Rhode Island,CO,27-07-2007
El Camino Real,Topeka,Rhode Island,VT,13-06-2007
Grandview Drive,Albany,South Carolina,NJ,19-05-2008
San Diego Freeway,Annapolis,South Carolina,HI,08-05-2008
Hutchinson Rd,Baton Rouge,South Carolina,VA,07-05-2008
N Harrison St,Boise,South Carolina,KS,27-07-2008
Timberlane Drive,Boise,South Carolina,MN,14-05-2008
San Luis Obispo North,Carson City,South Carolina,ND,30-12-2008
Redwood Highway,Charleston,South Carolina,NY,04-11-2007
San Marcos,Concord,South Carolina,TX,17-06-2008
Tanger Blvd,Des Moines,South Carolina,OR,15-12-2007
Lawrenceville Suwanee,Des Moines,South Carolina,IL,18-06-2007
East Main Street,Des Moines,South Carolina,WA,11-02-2008
South Roosevelt Drive,Honolulu,South Carolina,VA,18-06-2008
Castillo Drive,Little Rock,South Carolina,NY,23-01-2008
Steele Lane,Little Rock,South Carolina,NE,07-08-2007
Santa Ana Freeway,Madison,South Carolina,ND,29-08-2008
Moreno Drive,Nashville,South Carolina,AR,08-09-2008
North Erringer Road,Nashville,South Carolina,VA,15-09-2007
Cerrillos Road,Oklahoma City,South Carolina,MA,03-07-2007
South Roosevelt Drive,Oklahoma City,South Carolina,AK,30-08-2007
San Ysidro Blvd,Richmond,South Carolina,WI,22-03-2007
South Roosevelt Drive,Santa Fe,South Carolina,UT,09-08-2008
E Fowler Avenue,Topeka,South Carolina,ME,03-08-2008
Jean de la Fontaine,Topeka,South Carolina,AK,22-11-2007
Jean de la Fontaine,Topeka,South Carolina,WV,16-10-2007
Cerrillos Road,Boise,South Dakota,KS,05-07-2008
El Camino Real,Cheyenne,South Dakota,GA,18-07-2007
Tanger Blvd,Columbus,South Dakota,UT,05-02-2008
Fontaine Road,Concord,South Dakota,AZ,22-03-2008
East Main Street,Dover,South Dakota,NV,06-03-2007
Camelback Rd,Harrisburg,South Dakota,OR,02-12-2007
Redwood Highway,Helena,South Dakota,MI,19-01-2007
Bayshore Freeway,Honolulu,South Dakota,NV,06-07-2008
Santa Rosa North,Jackson,South Dakota,WV,03-08-2008
Cabrillo Highway,Jefferson City,South Dakota,OH,13-12-2008
Tully Road East,Jefferson City,South Dakota,SD,02-12-2007
Burnett Road,Juneau,South Dakota,AZ,30-08-2007
Tully Road East,Montpelier,South Dakota,HI,13-02-2008
North Preisker Lane,Pierre,South Dakota,CT,16-02-2007
Lindbergh Blvd,Saint Paul,South Dakota,AR,05-03-2007
North Atherton Street,Saint Paul,South Dakota,RI,11-07-2008
S Rustle St,Salem,South Dakota,GA,16-12-2007
Redwood Highway,Salem,South Dakota,PA,20-09-2007
San Luis Obispo North,Springfield,South Dakota,VA,03-07-2008
N Kentwood,Atlanta,Tennessee,TX,29-03-2007
Carpinteria Avenue,Austin,Tennessee,MO,18-05-2008
Redwood Highway,Bismarck,Tennessee,MI,11-04-2008
Santa Rosa North,Carson City,Tennessee,MD,26-06-2008
Jean de la Fontaine,Columbus,Tennessee,HI,08-04-2007
North Broadway Street,Concord,Tennessee,ME,28-08-2007
Harry S Truman Blvd,Denver,Tennessee,CT,15-12-2007
Santa Rosa South,Des Moines,Tennessee,KY,17-02-2007
Westside Freeway,Frankfort,Tennessee,GA,04-07-2008
Hutchinson Rd,Frankfort,Tennessee,OH,25-11-2008
South Roosevelt Drive,Juneau,Tennessee,FL,11-05-2008
San Luis Obispo North,Lansing,Tennessee,SC,28-12-2008
Jean de la Fontaine,Little Rock,Tennessee,MI,29-09-2008
Tully Road East,Nashville,Tennessee,GA,22-05-2008
North Preisker Lane,Pierre,Tennessee,NJ,03-09-2007
Santa Monica Road,Pierre,Tennessee,MO,01-08-2007
Burnett Road,Richmond,Tennessee,NH,15-09-2007
Calle Real,Sacramento,Tennessee,HI,06-05-2007
Camelback Rd,Sacramento,Tennessee,CT,25-04-2007
Carpinteria Avenue,Saint Paul,Tennessee,AR,30-05-2007
East 1st Street,Salem,Tennessee,VT,11-06-2007
Bayshore Freeway,Trenton,Tennessee,NC,17-04-2008
Jones Road,Austin,Texas,OK,25-08-2008
San Luis Obispo North,Boise,Texas,GA,20-03-2007
Westside Freeway,Boise,Texas,HI,03-01-2008
San Diego Freeway,Carson City,Texas,MD,03-03-2007
Hutchinson Rd,Charleston,Texas,NH,11-07-2007
N Kentwood,Cheyenne,Texas,OH,07-12-2008
South Highway,Des Moines,Texas,TX,16-03-2008
South Roosevelt Drive,Honolulu,Texas,KY,20-06-2007
Bayshore Freeway,Jackson,Texas,AK,08-03-2008
Greenwood Road,Jefferson City,Texas,SC,01-04-2008
Santa Monica Road,Lansing,Texas,WA,06-06-2007
East Fry Blvd.,Lansing,Texas,TX,29-09-2007
North Preisker Lane,Madison,Texas,FL,16-05-2008
Harry S Truman Blvd,Olympia,Texas,NV,08-07-2007
San Marcos,Phoenix,Texas,ID,04-11-2007
Santa Rosa South,Providence,Texas,HI,04-05-2007
E Fowler Avenue,Salem,Texas,MD,24-10-2007
Cleveland Ave.,Salt Lake City,Texas,MD,04-08-2007
Redwood Highway,Santa Fe,Texas,MS,22-10-2008
North Preisker Lane,Santa Fe,Texas,VA,07-12-2007
Santa Monica Road,Trenton,Texas,AZ,18-11-2008
Carpinteria Avenue,Albany,Utah,NJ,17-05-2007
North Preisker Lane,Atlanta,Utah,ME,30-01-2007
Steele Lane,Charleston,Utah,OH,17-10-2008
Greenwood Road,Concord,Utah,TX,16-01-2008
Santa Monica Road,Concord,Utah,LA,23-06-2007
Timberlane Drive,Dover,Utah,FL,11-02-2008
Jones Road,Harrisburg,Utah,NY,24-10-2007
North Ventu Park Road,Hartford,Utah,VA,17-08-2008
Monroe Street,Indianapolis,Utah,VA,21-06-2007
Cabrillo Highway,Jackson,Utah,IL,22-03-2008
Santa Monica Road,Jefferson City,Utah,NJ,01-04-2008
Lindbergh Blvd,Little Rock,Utah,ND,16-08-2008
North Preisker Lane,Little Rock,Utah,SD,19-07-2008
N Kentwood,Oklahoma City,Utah,NH,09-12-2008
Burnett Road,Oklahoma City,Utah,ND,23-11-2008
Lake Tahoe Blvd.,Phoenix,Utah,OR,29-04-2008
Jones Road,Providence,Utah,DE,02-04-2007
Corona Del Mar,Richmond,Utah,OH,16-06-2007
North Atherton Street,Springfield,Utah,MT,18-12-2008
Moreno Drive,Albany,Vermont,SC,03-11-2008
Timberlane Drive,Atlanta,Vermont,MN,20-07-2008
Tanger Blvd,Augusta,Vermont,IL,28-06-2007
Jones Road,Boise,Vermont,MT,30-03-2007
North Atherton Street,Boston,Vermont,WI,24-10-2008
Timberlane Drive,Columbia,Vermont,VA,12-07-2007
Castillo Drive,Concord,Vermont,KS,10-10-2008
Fontaine Road,Dover,Vermont,TN,15-04-2007
Bayshore Freeway,Hartford,Vermont,MO,04-06-2008
Pacific Hwy S,Hartford,Vermont,AL,07-02-2007
Tully Road East,Helena,Vermont,TN,02-11-2007
Calle Real,Jackson,Vermont,DE,14-01-2007
Santa Rosa North,Jefferson City,Vermont,AZ,21-07-2007
North Preisker Lane,Montpelier,Vermont,ID,14-08-2008
Burnett Road,Montpelier,Vermont,CA,02-02-2007
San Marcos,Richmond,Vermont,WA,04-02-2007
Moreno Drive,Salt Lake City,Vermont,SC,04-11-2007
Corona Del Mar,Santa Fe,Vermont,MT,16-12-2007
El Camino Real,Springfield,Vermont,IN,31-08-2007
Cabrillo Highway,Topeka,Vermont,NE,15-05-2008
W. Russell St.,Trenton,Vermont,NY,10-02-2007
Lawrenceville Suwanee,Albany,Virginia,WY,26-05-2008
Pacific Hwy S,Annapolis,Virginia,NV,05-10-2007
Santa Ana Freeway,Augusta,Virginia,IL,28-05-2008
San Marcos,Boise,Virginia,MS,07-03-2008
El Camino Real,Dover,Virginia,DE,29-11-2007
Padre Boulevard,Harrisburg,Virginia,MA,29-03-2008
Santa Rosa South,Helena,Virginia,IA,10-12-2008
Hutchinson Rd,Honolulu,Virginia,HI,15-08-2007
South Roosevelt Drive,Jefferson City,Virginia,IN,05-08-2007
Tanger Blvd,Madison,Virginia,NE,11-10-2008
Via Real,Montgomery,Virginia,SD,20-08-2008
Erringer Road,Pierre,Virginia,OH,03-08-2007
Santa Rosa North,Richmond,Virginia,SC,31-05-2007
Carpinteria North,Saint Paul,Virginia,MI,25-12-2008
Harbor Dr,Salem,Virginia,MO,02-02-2008
Newbury Road,Salem,Virginia,UT,22-07-2008
Fontaine Road,Springfield,Virginia,RI,10-03-2008
Santa Ana Freeway,Trenton,Virginia,NC,23-05-2008
North Atherton Street,Atlanta,Washington,AK,16-09-2008
North Ventu Park Road,Atlanta,Washington,WY,21-05-2008
Padre Boulevard,Atlanta,Washington,IA,11-06-2007
Tanger Blvd,Bismarck,Washington,ID,26-09-2007
Burnett Road,Concord,Washington,MO,20-02-2008
Bailard Avenue,Helena,Washington,AL,11-04-2008
San Simeon,Helena,Washington,HI,26-02-2008
Harbor Dr,Helena,Washington,KY,09-11-2007
Monroe Street,Helena,Washington,NM,12-01-2007
San Diego Freeway,Indianapolis,Washington,VA,23-05-2007
South Roosevelt Drive,Indianapolis,Washington,AK,11-10-2008
Corona Del Mar,Lansing,Washington,TX,16-02-2008
Camelback Rd,Montpelier,Washington,MI,02-01-2007
San Ysidro Blvd,Nashville,Washington,SD,06-02-2008
South Roosevelt Drive,Oklahoma City,Washington,MO,26-02-2007
Richmond Hill,Pierre,Washington,SD,22-02-2008
Hutchinson Rd,Providence,Washington,KS,22-06-2008
Jean de la Fontaine,Providence,Washington,VA,04-05-2007
N Harrison St,Richmond,Washington,IA,10-06-2007
Burnett Road,Atlanta,West Virginia,AZ,14-11-2007
Corona Del Mar,Atlanta,West Virginia,CA,06-07-2008
